+-------------------------------+-------------+------+-----------+
| palavra                       | nome        | flag | descricao |
| APETITE                       | SUBSTANTIVO | NOUN |           |
| APETITE                       | SUBSTANTIVO | NOUN |           |
| ÁPICE                         | SUBSTANTIVO | NOUN |           |
| APITO                         | SUBSTANTIVO | NOUN |           |
| APOGEU                        | SUBSTANTIVO | NOUN |           |
| APONTADOR                     | SUBSTANTIVO | NOUN |           |
| APOSENTADO                    | SUBSTANTIVO | NOUN |           |
| APOSENTADORIA                 | SUBSTANTIVO | NOUN |           |
| APÓSTOLO                      | SUBSTANTIVO | NOUN |           |
| AQUÁRIO1                      | SUBSTANTIVO | NOUN |           |
| AQUÁRIO2                      | SUBSTANTIVO | NOUN |           |
| AQUECEDOR                     | SUBSTANTIVO | NOUN |           |
| AR                            | SUBSTANTIVO | NOUN |           |
| ARÁBIA                        | SUBSTANTIVO | NOUN |           |
| ARACAJÚ                       | SUBSTANTIVO | NOUN |           |
| ARAME                         | SUBSTANTIVO | NOUN |           |
| ARANHA                        | SUBSTANTIVO | NOUN |           |
| ARARA                         | SUBSTANTIVO | NOUN |           |
| ARBUSTO                       | SUBSTANTIVO | NOUN |           |
| ARCO-ÍRIS                     | SUBSTANTIVO | NOUN |           |
| ARCO                          | SUBSTANTIVO | NOUN |           |
| ARCO                          | SUBSTANTIVO | NOUN |           |
| ÁREA1                         | SUBSTANTIVO | NOUN |           |
| ÁREA2                         | SUBSTANTIVO | NOUN |           |
| AREIA                         | SUBSTANTIVO | NOUN |           |
| ARGENTINA                     | SUBSTANTIVO | NOUN |           |
| ÁRIES                         | SUBSTANTIVO | NOUN |           |
| ARMA                          | SUBSTANTIVO | NOUN |           |
| ARMÁRIO                       | SUBSTANTIVO | NOUN |           |
| AROMA                         | SUBSTANTIVO | NOUN |           |
| ARQUEIRO                      | SUBSTANTIVO | NOUN |           |
| ARQUITETO                     | SUBSTANTIVO | NOUN |           |
| ARQUITETURA                   | SUBSTANTIVO | NOUN |           |
| ARQUIVO                       | SUBSTANTIVO | NOUN |           |
| ARRAIA                        | SUBSTANTIVO | NOUN |           |
| ARREPENDIMENTO                | SUBSTANTIVO | NOUN |           |
| ARROZ                         | SUBSTANTIVO | NOUN |           |
| ÁRTICO                        | SUBSTANTIVO | NOUN |           |
| ÁRVORE1                       | SUBSTANTIVO | NOUN |           |
| ARVOREDO                      | SUBSTANTIVO | NOUN |           |
| ÁS                            | SUBSTANTIVO | NOUN |           |
| ASA                           | SUBSTANTIVO | NOUN |           |
| ASA                           | SUBSTANTIVO | NOUN |           |
| ASA                           | SUBSTANTIVO | NOUN |           |
| ASFALTO                       | SUBSTANTIVO | NOUN |           |
| ÁSIA                          | SUBSTANTIVO | NOUN |           |
