+--------------------+-------+--------+-----------------------------------------------------------+
| ANDAR              | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ANDAR              | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ANDAR              | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ANDAR              | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ANDAR              | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ANDAR              | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ANDAR              | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ANGUSTIAR          | VERBO | VERB   |                                                           |
| ANIMAR             | VERBO | VERB   |                                                           |
| ANIQUILAR          | VERBO | VERB   |                                                           |
| ANOTAR             | VERBO | VERB   |                                                           |
| ANOTAR             | VERBO | VERB   |                                                           |
| ANOTAR             | VERBO | VERB   |                                                           |
| ANTECEDER          | VERBO | VERB   |                                                           |
| ANTECIPAR          | VERBO | VERB   |                                                           |
| ANTECIPAR          | VERBO | VERB   |                                                           |
| ANULAR             | VERBO | VERB   |                                                           |
| ANUNCIAR           | VERBO | VERB   |                                                           |
| APAGAR LUZ         | VERBO | VERB   |                                                           |
| APAGAR VELA        | VERBO | VERB   |                                                           |
| APAIXONAR          | VERBO | VERB   |                                                           |
| APALPAR            | VERBO | VERB   |                                                           |
| APANHAR            | VERBO | VERB   |                                                           |
| APANHAR            | VERBO | VERB   |                                                           |
| APARAFUSAR         | VERBO | VERB   |                                                           |
| APARECER           | VERBO | VERB   |                                                           |
| APARECER           | VERBO | VERB   |                                                           |
| APAVORAR           | VERBO | VERB   |                                                           |
| APEGAR             | VERBO | VERB   |                                                           |
| APELAR             | VERBO | VERB   |                                                           |
| APELIDAR           | VERBO | VERB   |                                                           |
| APELIDAR           | VERBO | VERB   |                                                           |
| APERFEIÇOAR1       | VERBO | VERB   |                                                           |
| APERFEIÇOAR2       | VERBO | VERB   |                                                           |
| APERTAR            | VERBO | VERB   |                                                           |
| APITAR             | VERBO | VERB   |                                                           |
| APLAUDIR           | VERBO | VERB   |                                                           |
| APLAUDIR           | VERBO | VERB   |                                                           |
| APLICAR            | VERBO | VERB   |                                                           |
| APLICAR            | VERBO | VERB   |                                                           |
| APODERAR           | VERBO | VERB   |                                                           |
| APODRECER          | VERBO | VERB   |                                                           |
| APODRECER          | VERBO | VERB   |                                                           |
| APOIAR             | VERBO | VERB   |                                                           |
| APOIAR             | VERBO | VERB   |                                                           |
| APONTAR            | VERBO | VERB   |                                                           |
| APONTAR            | VERBO | VERB   |                                                           |
| APOSENTAR          | VERBO | VERB   |                                                           |
| APOSTAR            | VERBO | VERB   |                                                           |
| APRECIAR           | VERBO | VERB   |                                                           |
| APREENDER          | VERBO | VERB   |                                                           |
| APRENDER           | VERBO | VERB   |                                                           |
| APRESENTAR         | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| APRESENTAR         | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| APRESENTAR         | VERBO | VERB-P | Verbo conjugao pela pessoa do dicurso. Ex.: 1sPERGUNTAR3s |
| APRESSAR           | VERBO | VERB   |                                                           |
| APRESSAR           | VERBO | VERB   |                                                           |
| APRISIONAR         | VERBO | VERB   |                                                           |
| APROFUNDAR         | VERBO | VERB   |                                                           |
| APROVAR            | VERBO | VERB   |                                                           |
| APROVAR            | VERBO | VERB   |                                                           |
| APROVEITAR         | VERBO | VERB   |                                                           |
| APROVEITAR         | VERBO | VERB   |                                                           |
| APROXIMAR          | VERBO | VERB   |                                                           |
| APROXIMAR          | VERBO | VERB   |                                                           |
| APTO               | VERBO | VERB   |                                                           |
| AQUECER            | VERBO | VERB   |                                                           |
| ARAR               | VERBO | VERB   |                                                           |
| ARBITRAR           | VERBO | VERB   |                                                           |
| ARDER              | VERBO | VERB   |                                                           |
| ARDER              | VERBO | VERB   |                                                           |
| ARDER              | VERBO | VERB   |                                                           |
| ARQUEJAR           | VERBO | VERB   |                                                           |
| ARQUIVAR           | VERBO | VERB   |                                                           |
| ARRANCAR           | VERBO | VERB-L | Verbo conjugado por locativo                              |
| ARRANHAR           | VERBO | VERB   |                                                           |
| ARRANJAR           | VERBO | VERB   |                                                           |
| ARRANJAR           | VERBO | VERB   |                                                           |
| ARRASTAR           | VERBO | VERB   |                                                           |
| ARREBENTAR         | VERBO | VERB   |                                                           |
| ARREMATAR          | VERBO | VERB   |                                                           |
| ARREMESSAR         | VERBO | VERB   |                                                           |
| ARREPENDER         | VERBO | VERB   |                                                           |
| ARREPIAR           | VERBO | VERB   |                                                           |
| ARROLAR            | VERBO | VERB   |                                                           |
| ARROMBAR           | VERBO | VERB   |                                                           |
| ARROTAR            | VERBO | VERB   |                                                           |
| ARRUMAR            | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ARRUMAR            | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ARRUMAR            | VERBO | VERB-G | Verbo conjugado por gênero                                |
| ARTICULAR          | VERBO | VERB   |                                                           |
| ASCENDER           | VERBO | VERB   |                                                           |
| ASFIXIAR           | VERBO | VERB   |                                                           |
| ASPIRAR            | VERBO | VERB   |                                                           |
| ASSALTAR           | VERBO | VERB   |                                                           |
| ASSAR              | VERBO | VERB   |                                                           |
| ASSAR              | VERBO | VERB   |                                                           |
| ASSASSINAR         | VERBO | VERB   |                                                           |
| ASSIMILAR          | VERBO | VERB   |                                                           |
| ASSINAR            | VERBO | VERB-L | Verbo conjugado por locativo                              |
| ASSISTIR           | VERBO | VERB   |                                                           |
| ASSISTIR           | VERBO | VERB   |                                                           |
| ASSISTIR           | VERBO | VERB   |                                                           |
| ASSOAR             | VERBO | VERB   |                                                           |
| ASSOBIAR           | VERBO | VERB   |                                                           |
| ASSOCIAR           | VERBO | VERB   |                                                           |
| ASSUMIR            | VERBO | VERB   |                                                           |
| ASSUMIR            | VERBO | VERB   |                                                           |
| ASSUMIR            | VERBO | VERB   |                                                           |
| ASSUSTAR           | VERBO | VERB   |                                                           |
| ATACAR             | VERBO | VERB   |                                                           |
